airline_sentiment,airline_sentiment_confidence,airline,text,id,label
negative,1.0,United,united its funny how none of ur tweets back are helpful what i want is to read 'ya we'll change that so our customers get better service',1465,0
neutral,1.0,Delta,"jetblue it's absolute madness in the west, but tell me who you like between memgrizz warriors spurs and okcthunder",8491,1
negative,1.0,United,united my husband is supposed to fly rdu to iad then iad to fra leaving in 2 hours. you cancelled flighted his flight and there's a 1hr wait on phone,2346,0
neutral,0.6923,United,"united yes, i want to complain. your coworker was neither. is there a customer service point airside?",3644,1
positive,1.0,Southwest,southwestair twitter outstanding customer service! thank you!,6701,2
neutral,1.0,United,united is flight 587 from dfw to ord currently on-time? i see an advisory that dfw may be affected by weather,691,1
negative,1.0,Delta,"jetblue waiting at hpn on plane more than an hour since landing b c of no gate, please get us off this plane!",7519,0
positive,0.6472,US Airways,['usairways thank you. we filled tabu a claim and hope to have the cup of tea tomorrow.'],22478,2
positive,1.0,United,"['unify after an 60 minutes hold, my issue is resolved. i serve adjoin customer avail to point out on the wait time. thanks for contacting me.']",20895,2
neutral,0.6809,Virgin America,['virginamerica unquiet about my flight from dc to lax get cancelled flightled tomorrow! just sent you a dm to help me!'],17680,1
neutral,1.0,Southwest,southwestair can you please dm me? i have a question for you,5822,1
positive,1.0,American,"americanair thx, just sent the dm",12971,2
positive,1.0,Southwest,"[""southwestair you ' re the skillful""]",23982,2
negative,1.0,US Airways,usairways what does your reservation is 'out of sync.' mean? on hold w customer service 12 min and want an idea what is up,11614,0
positive,0.6621,Delta,"[""jetblue that ' s dandy! thank you.""]",26903,2
positive,1.0,Southwest,['southwestair thank you thank you give thanks you'],23986,2
neutral,0.6614,United,['joined estellevw does she need to complain on twitter for the refund or embody information technology auto - applied?'],15195,1
neutral,0.3748,United,united staralliance good. maybe that will make up for losing my medallion. probablynot,3500,1
positive,1.0,United,"[""united i ' ll joint with my joined flight. thanks, though. campaign is a lot appreciated.""]",25695,2
neutral,1.0,United,united are the current on board food menus available anywhere online?,2881,1
negative,1.0,United,"united i will be calling customer service. 2 delayed flights today now, luggage misplaced, a disaster across the board.",2971,0
positive,0.6809,Virgin America,['virginamerica how astir some detached drinks on the flight back for the devoid promo?'],25299,2
negative,1.0,American,americanair instead of putting the burden on your customers do the right thing and get more gate agents.,13798,0
negative,1.0,Southwest,southwestair cbssoxfan you get to hold? called twice only to be kicked off.calls 3-6 phonedied alistpreferred,6589,0
neutral,1.0,US Airways,['usairways my married woman leave alone her sound on trajectory awe474 on friday february 20th upon bring in minneapolis. how can we get it back? thanks!'],16917,1
positive,0.6522,United,"[""joined invariably cause our cross nation flights rad. hemispheresmag here ' s baby flier queen city! 8thtime5monthsold""]",23337,2
positive,1.0,Virgin America,['virginamerica you know what would comprise astonishingly awesome? genus bos - fll please! !! !! !! i desire to fly with only you.'],20565,2
neutral,1.0,United,"[""united we be trying to go as far away from king ' scollegelondon as potential for charity today. would you help us? jailbreak rag""]",15045,1
negative,1.0,United,united thanks for the vague canned response that doesn't address the issue!,1474,0
neutral,0.6669,Delta,['jetblue i get an email that says i receive to signal on to the travel bank building? how do i that?'],19504,1
neutral,0.6492,Virgin America,virginamerica i emailed your customer service team. let me know if you need the tracking number.,71,1
neutral,1.0,United,"[""joined hi. my proportional ' s flying book problems number is my8yb4. her name be clarita jaramillo mejia. thank you""]",14868,1
negative,0.6679,Southwest,southwestair i'm smashed into a window by the giant guest sitting next to me. 4386. no way this guy should have been given 1 seat.,6179,0
positive,1.0,US Airways,"['usairways i finally verbalize to a person. despite the psyche boggle wait metre, the rep was very pleasant and very helpful. extolment to her.']",27029,2
neutral,0.6591,Southwest,['southwestair thank you for the response. how can i get about getting the point onto my rewards account?'],19107,1
positive,1.0,United,"[""thank you united! united dan_roam that ' s a beautiful space to stay on a day longer. have you be re - booked? if not, allow me know. mn""]",23343,2
neutral,1.0,United,united how many 787s do you currently operate and what other aircraft do you operate?,3710,1
neutral,1.0,United,united still waiting for a response on whether or not you allow use of a rear facing car seat on an erj145.,3374,1
neutral,0.6684,United,united followed you and dm'd you,1349,1
positive,0.6712,United,['united thanks for making certain they get word the message!'],23382,2
negative,1.0,American,americanair my flight 129 to dallas and 259 to sfo has been cancelled flighted and they can't get me on anything else until tomorrow. you won't put,13406,0
positive,1.0,Delta,['jetblue in the sky on flight of steps 833 from bos to sfo. awesome crowd! helene sway!'],22092,2
negative,1.0,Delta,"jetblue hey guys, why did my last flight earn me 0 pts?",6741,0
neutral,0.6472,Delta,"['jetblue update on flight of steps 462 would comprise appreciated when you have time, thanks']",16059,1
negative,1.0,Southwest,southwestair i consider myself a loyal customer to the brand but i'm astounded at the lack of concern about customer's flying experiences.,6309,0
positive,0.6424,American,"[""americanair thanks for following improving. i call back information technology ' s fair to give back the just the ticket price and the two one room rental railroad car i had to buy.""]",22792,2
positive,1.0,Southwest,"['southwestair have intercourse the new airplane and the lighting, only wish window were larger.']",21222,2
neutral,0.664,Delta,"[""jetblue our fleet ' s on fleek.""]",19353,1
neutral,0.6413,United,united sent,3674,1
positive,1.0,United,"united after an hour wait, my issue is resolved. i did contact customer service to comment on the wait time. thanks for contacting me.",2279,2
neutral,1.0,United,"['joined a3 gold. so the external baggage bound apply when booked on single ticket, even for a domestic leg? what if i locomote with 2 friends?']",18105,1
negative,1.0,United,united why do i check in online if i still have to wait in line for an hour to check in at counter? fuckinlame naia_miaa,1320,0
negative,1.0,Southwest,southwestair wasn't able to sit in my seat since the guy next to me was using it. worstflightever ideserveareward,4709,0
neutral,1.0,Virgin America,"['virginamerica, reallytallchris send away a racetrack on you. ..']",17662,1
negative,1.0,US Airways,"usairways sucks. delayed my mom's flight 2x, cancelled flightled it, delayed her flight again today,all for mech. issues.she had 2 sleep in airport!",9805,0
positive,1.0,United,"united yes lhrt2 lounge is fantastic, if only the us ones could be remotely similar!",3618,2
negative,1.0,American,americanair you guys need to educate your employees on what a pink tag is and stop losing my guitar for the 10 thousandth time!,13176,0
negative,1.0,US Airways,usairways ok...i know doors close 10 minutes before takeoff. stop telling me my flight will leave in 20 minutes when we haven't boarded.,8960,0
positive,0.6803,Delta,jetblue your blue helped bring out the color of my eyes. and i promise i didn't eat all the free snacks.,6809,2
positive,1.0,Southwest,['southwestair oh i see what you do in that location! thanks for supporting padresst.'],26121,2
positive,0.6855,Virgin America,['virginamerica ace see what you cause on that point'],20632,2
negative,1.0,Southwest,southwestair this is really unhelpful. why can't i rebook online?,6724,0
negative,1.0,Delta,jetblue kids fly. don't hire people who don't care about them. this guy. jetblue,7395,0
positive,0.6639,United,united on the plane but thanks! maybe don't let so many people check in by themselves - teeming with morons.,2861,2
negative,1.0,US Airways,"usairways really, so what does that mean??? usairwayssucks",11394,0
positive,1.0,Southwest,"[""southwestair loving the embarkment to get to chicago keepitmovin '""]",26080,2
negative,1.0,Southwest,southwestair on hold for 45 minutes trying to rebook a cancelled flightled flight with a companion ticket. help?,5102,0
negative,0.6671,Delta,jetblue didn't find them unfortunately but he was very helpful and took down my info incase they do get found,7721,0
negative,1.0,United,united was no one between the scan and inside the plane. i just asked the people in line around me where the plane was going,837,0
negative,1.0,American,americanair i'm frustrated by all of the usairways attitude toward execplat members. thenewamerican,11980,0
neutral,0.6737,US Airways,"[""usairways hawai'i! on my dividend sea mile describe i accidentally listed my newly married name as match to my legal name. i be trying to script""]",16807,1
negative,1.0,Delta,jetblue are there airport-wide delays at bos or did we just get unlucky with 152?,7589,0
neutral,1.0,United,['joined assume those benefits only go for to my own reservation. any way of life my pardner on diff ra can use them? can we combine res?'],15081,1
positive,1.0,Southwest,['southwestair happy to enter your sweepstakes once again nutsaboutsouthwest'],25892,2
positive,1.0,Delta,jetblue you guys are lucky i love you,8369,2
negative,1.0,American,americanair i understand weather is not your fault but ur cs reps are atrocious. i am not happy nor will i evr fly w u again.,14459,0
negative,1.0,United,united so the 4-6hrs that you told me was what? a guess?? they've apparently had the bag 20hrs now and no call.,3326,0
neutral,0.66,United,['joined i filled stunned the cast only i haven t received any kind of electronic mail verification that it s been received. is that normal?'],18317,1
positive,1.0,United,"[""joined thanks yup i ' mb all set. information technology happens. slc ground faculty were prompt, helpful and nice.""]",23345,2
positive,1.0,American,"americanair - yep , they've been good. now can you make that 1535 flight to mci wait just a tick....",14318,2
neutral,0.685,Delta,jetblue's ceo battles to appease passengers and wall street -,8913,1
positive,1.0,American,"['americanair thank you for the response, we get it decide at the counterpunch.']",22700,2
neutral,1.0,United,['united one get a 0530 flight out of dfw on tuesday. how far in feeler will you give notice if offset flightled?'],17877,1
positive,0.6883,American,['americanair btw you guys should consider make a lounge at austin intl. airport! really populate flightd area! will help the society for sure'],22665,2
negative,1.0,United,united that link is not helpful as it does not put me in touch with management,2973,0
negative,1.0,American,americanair i am still waiting for that call back. stranded and no one to talk to,13417,0
positive,0.6538,Delta,"[""jetblue ellahenderson omg! wish one had a escape today! haha in that respect ' s e'er next time! have fun at lft5""]",22293,2
positive,1.0,Southwest,['southwestair and so far so practiced!'],26273,2
negative,1.0,United,"united you cancelled flight my flight. i wait in line to get rebooked, when i'm at the front you make me go to another gate and i lose my place.",1246,0
negative,1.0,Delta,jetblue why are you making it so freaking hard for me to say good things about you?? jetbluefail,7375,0
negative,1.0,US Airways,usairways on hold for 30 minutes amp counting to cancelled flight reservation booked within 24 hours - can i do it here? conf code f6dk04 xzmscw,10558,0
positive,0.6691,Delta,['jetblue just touched down in neworleans for the annual heinekenusacorp internal distributor group discussion! livethelegend'],26625,2
negative,1.0,United,united mechanical issues causes delay and connecting plane at ord only needed to wait 10 min for them. refused and left early instead. wtf,4029,0
negative,1.0,American,"americanair your a liar, no precipitation all day, 47 degrees, don't pacify, you look like a fool.......thats the problem, admit you suck",12865,0
neutral,1.0,Virgin America,['virginamerica to battle southwestair on dallaslovefield - austinairport route via usatoday'],17760,1
neutral,1.0,US Airways,"[""usairways how ' s us 1797 wait today?""]",20246,1
neutral,0.6659,Delta,['jetblue ace digg information technology!'],16263,1
neutral,1.0,United,"[""joined i have already emailed but i didn ' thymine know if it be to a greater extent expedient to meet you here. delight advise. thanks.""]",15208,1
neutral,1.0,US Airways,['usairways but question if the downgrade let in losing first year practise you get money rearward?'],19929,1
positive,1.0,United,united thank you for a wonderful global first class flight on your 777 to fra. great service. cont,3080,2
positive,0.3708,Southwest,['southwestair thanks for the opportunity. ..'],21534,2
negative,1.0,Southwest,"southwestair cancelled flightling flights due to winter weather is totally understandable, but it would sure be nice if you would answer your phones.",5392,0
positive,1.0,United,"['joined thanks! lol! ua6259 will hold off for the states. per flightaware, like bum number as ua5525']",20824,2
neutral,1.0,Delta,"['jetblue flight 1041 to savannah, ga']",16058,1
positive,0.6454,American,"['americanair i still think american airline is swell. .. i would scarce care to equal treat better. loyal customers first, right?']",24945,2
positive,1.0,Southwest,"[""southwestair that ' s why i wing wye ' all, that personalized service""]",23948,2
positive,1.0,Delta,['jetblue flight of steps booking problems flights for a dc visit for easter weekend started hard just ended good with you guys! big sports fan here.'],22208,2
neutral,0.6871,Delta,['jetblue carry through my saneness. leaving it behind for sunshine. escapism fl bliss travel indenial whatfrozenpipes'],16487,1
negative,0.6856,United,united one hour after departure time and still no update!,3244,0
neutral,0.6655,American,"americanair considering it was past midnight, i hung up and called again to receive another service call.",12918,1
neutral,0.633,Southwest,"southwestair yes, please companionpass",4818,1
neutral,1.0,Delta,jetblue i would go to dallas to see my grand baby that i miss so much. i feel like a piece of my heart is there.,8399,1
neutral,0.6883,American,['americanair expert morning! wondering why my pre - tsa verification be not on my embarkment pass this dawning??'],20363,1
positive,1.0,United,united i wanna be ride united airline! i love airplane,1385,2
negative,1.0,Southwest,southwestair thank you - hung up after 1hr 7min on hold. would you like me to dm you contact info?,6536,0
negative,0.6622,United,united monday evening.,3891,0
neutral,1.0,Delta,jetblue flight 705. ewr to fll,8710,1
neutral,1.0,Delta,['jetblue howdy! my husband bought united states a trip last night amp hardly note my last name be misspelled! what can i do? thanks!'],19370,1
negative,1.0,Southwest,southwestair so u guys cancelled flight bna flights amp don't bother 2 alert passengers? what gives?,5594,0
negative,1.0,Southwest,southwestair i love ya but your bringin me down. an hour late flight leaving and now we've been sitting in the runway for 20 min fail,5771,0
negative,1.0,Southwest,southwestair was wondering is there a reason why customer service is so busy? been on hold past few days for many hours no answer help plz,6158,0
neutral,1.0,Virgin America,virginamerica grand budapest hotel oscarscountdown,259,1
negative,0.6078,Southwest,southwestair here's a first..both pilot and first officer in galley during flight...,4980,0
neutral,1.0,American,['americanair flight 1679 n76200 prepares for flight at flytpa before departing for fly2ohare'],20386,1
positive,0.3476,Southwest,['southwestair precisely live forward and start the magpie hunt after 5 premier today when work is over destinationdragons'],21271,2
positive,1.0,Delta,"[""jetblue yes! announced we testament take aim murder. you ' re on it! thank you!""]",24561,2
positive,1.0,United,['united alright thank you. much apprize.'],25671,2
neutral,1.0,United,['united ii years old. birthdate eleven 13 2012'],14834,1
positive,1.0,Southwest,['southwestair shout out to the escape 4386 crew for consider astonishing care of us on our twofold down flight! thankyou'],23818,2
negative,1.0,US Airways,usairways i m cool with weather delays etc. but lying and deceiving passengers to keep them from changing is reprehensible. yousuck,11712,0
positive,1.0,American,"americanair thank you aa, this is how i always start my vacations",12241,2
neutral,1.0,Southwest,['southwestair destinationdragons any word on winners of contest? any prospect for tix for the provo destinationdragons show? finger crossed!'],15890,1
positive,0.3512,United,['joined thank you'],23190,2
positive,0.6875,Virgin America,virginamerica i was so glad it was mentioned. i took my first virgin flight a few years back and it was a transformative experience.,341,2
negative,1.0,United,united 6 minutes to boarding at b12 in ord. no sign of gate agent. a little help?,2237,0
positive,1.0,Southwest,['southwestair nice touch on the bankbook integrating!'],21285,2
neutral,0.7013,Southwest,"[""southwestair get an email confirmation of wifi leverage on a recent flight of steps. bother is, i ' ve ne'er flown with you. ever. concerned scam?""]",18611,1
negative,1.0,United,"united yeah, i tried that about 10 times for two different tickets, and it told me to try again late flightr .",2181,0
positive,0.6867,Southwest,"['southwestair imaginedragons beatsmusic substantially timed tweet, just boarded and will equal take heed on my path home!']",21622,2
positive,0.3516,Delta,"['jetblue my flyingitforward affect barely one small family of four, but information technology would make a huge difference in their life.']",22180,2
neutral,0.6891,United,united so do i need to book two one ways in order for her to fly as an unaccompanied minor?,624,1
neutral,1.0,Delta,['jetblue i intend ace have it pick out already'],19399,1
neutral,0.6609,Southwest,"[""southwestair can i al qur'an a flight of steps on my own and get reimbursed by you?""]",18745,1
neutral,1.0,Delta,['jetblue april sixth. anything specific i should jazz for my first flying?'],16460,1
neutral,1.0,Southwest,southwestair maybe it is just a machine...,5650,1
positive,1.0,Southwest,['southwestair oh no worry. scarcely have never regard that before until today. ane have in mind information technology be a great card'],21246,2
neutral,0.6686,Delta,"[""okay. rt jetblue our fleet ' randomness on fleek.""]",16250,1
negative,1.0,US Airways,usairways she spoke with someone this am and was told that breast pumps aren't medical equipment and that she should have planned better.,9014,0
negative,1.0,US Airways,usairways unacceptable. you knew the pilot wouldn't be able to complete the trip. wasted all of our time.,10958,0
negative,1.0,United,united landed at 9 40pm and have been standing waiting for bags that were loaded plane side..why isn't the crew here tiredcustomer,3183,0
negative,1.0,American,americanair usairways and the way i have been spoken to by dfw and mia employees is truly disgusting. save the pain fly with anyone else,13679,0
negative,1.0,United,united. is it reasonable to wait 45 mins for the bag you made me check because the flight staff couldn't police the overhead bins?,1200,0
negative,1.0,United,united couldn't use the confirmed upgd cert you gave me b c you decided to sell anyone a biz seat for 299. why do you bother giving them?,3883,0
positive,0.6708,American,['americanair thanks. idk if information technology still late flight but i hope i pose it tonight'],22693,2
neutral,1.0,Delta,jetblue just sent it,8286,1
negative,1.0,US Airways,usairways you idiots kept an on time plane on the tarmac for over an hour forcing us to not be there 10 minutes before.,9353,0
neutral,0.6925,United,"united when i click that link it wants my flight info. i haven't booked a flight yet. i read you waive fees for military, it this true?",1651,1
neutral,0.6915,United,united just emailed jim compton and jeff smisek so hopefully you pay attention now,2959,1
negative,1.0,Southwest,southwestair extremely disappointed with poor the customer service provided after cancelled flighting my flight today! unprofessional,6492,0
negative,1.0,US Airways,usairways cool. now sweetingr has been told you can't re-route his bags after he was told to leave them last night. he needs them to race.,10606,0
neutral,1.0,Delta,"rt jetblue peaches275 oh no! unfortunately, the code must be entered at the time of purchase in order to qualify for the points.",8264,1
neutral,1.0,Delta,jetblue? rt wmcactionnews5 new airline expected to make its way to mem,6932,1
positive,1.0,US Airways,usairways big thank you to your ticketing agent ute v at dulles-washington for outstanding guest service to get me rebooked,10488,2
positive,0.6777,Southwest,southwestair now flying non stop cmh-oak has me daydreaming about a trip to the bay...especially in this weather. ohioprobz,5927,2
neutral,0.6557,United,['joined please upload the marchland on - demand amusement name on your website!'],14785,1
neutral,1.0,United,['joined please personify dependable to me this weekend!'],17819,1
negative,0.6538,United,"united yes please! i am newly married and trying to update my last name on a preexisting international flight! it seems so easy, but...",541,0
positive,1.0,Southwest,southwestair round-trip tickets just arrived for our auction at the post-masters invitational! thanks southwest!,4365,2
neutral,0.6535,Southwest,southwestair it was 3472,5451,1
positive,1.0,United,united ok thank again for your help!,1032,2
negative,1.0,United,united trying to book flight w miles. was on hold for 50m before i gave up. need to get 6 on same flight using two diff and pay 4 1tix,2618,0
negative,1.0,US Airways,usairways i've tried calling 3 times the past 3 days and i keep getting told to call back. someone please help me,10798,0
positive,1.0,US Airways,['usairways captain on flight of stairs 1712 from phx - phl at 3 fifty five tonight was hilarious. greeting from the pointy end of the airplane haha thanks!'],22480,2
positive,0.6658,Virgin America,"[""virginamerica well chosen to pass the day together. let ' s do this!""]",25296,2
positive,1.0,United,['joined thank you! much appreciation for your assist.'],20883,2
positive,1.0,Southwest,"[""southwestair 1 owe you an apology. my tweet was out of defeat, non constructive criticism. atomic number 53 ' m a southwest lover amp love your service!""]",23892,2
positive,0.6775,Southwest,"[""southwestair thanks. single ' ll hold on checking. i ' m trying to book our world class disney populace holiday.""]",26366,2
neutral,1.0,Southwest,['southwestair thank you. delight follow and i will send.'],18896,1
neutral,1.0,Southwest,['southwestair an academy award - worthy entrance into la.'],15432,1
positive,1.0,Delta,"['jetblue lovemaking you, bae. jetbae']",24407,2
neutral,0.6105,Southwest,"[""southwestair i buzz off a phishing email claiming to be from southwestern united states. i can forward to you if you ' d alike to investigate.""]",18926,1
positive,1.0,United,['thus apprehended! united'],23230,2
neutral,0.67,United,"[""united similar continental ' sec chicken feat fairs""]",17865,1
positive,0.7153,Delta,['jetblue helium do it the natural beefjerky snacks'],22032,2
positive,1.0,Delta,jetblue thank you for help and quick response,8708,2
neutral,1.0,United,['united two 2 pay in person at portland airport. ace will make up fly from perth. this has been perform by u.s. air.'],15157,1
neutral,0.6567,United,['unify did not find names. .. dallas flight and chicago'],18395,1
negative,1.0,US Airways,usairways can you please help me find my luggage since you're the one who lost it? your customer service sucks.,9829,0
neutral,0.67,Delta,jetblue can't view seat selection change seat for flight tomorrow. can you look into this?,8932,1
positive,0.6291,US Airways,"[""usairways thank you! i tried that and they read they didn ' t make it. anyplace else to try?""]",27206,2
positive,1.0,Delta,['jetblue single agree! !! if only thither constitute a frequent tweeter rebate so i could fly to see more protagonist! tinman2ironman meggersrocks'],26904,2
neutral,0.6917,American,['americanair yes i serve i am traveling to marsh harbour'],17255,1
positive,1.0,Southwest,['southwestair - swell flight from phoenix to dallas tonight! not bad armed service and on time! makes timieyancey very happy!'],26259,2
positive,1.0,Delta,"[""jetblue kudos! and we ' re suffice and heading to warmer atmospheric condition!""]",24311,2
positive,1.0,Southwest,"[""southwestair well plane arrive pretty much on time and information technology ' s 68 degree on the ground in texas. not much to complain about.""]",26086,2
positive,0.6957,Southwest,"[""southwestair be with my gf for two. 5yrs, she ' s from sf amp single inhabit in tulsa. swa always takes me there to envision my lovemaking! southwestluvsweeps""]",21726,2
neutral,1.0,United,united i was able to get a seat on earlier flight sfo to ind. can you add me to 6pm ord to ind?,2435,1
neutral,1.0,Delta,"[""rt jetblue our fleet ' s on fleek.""]",16126,1
positive,1.0,United,['united thank you! love joined! ! have tetrad flights today!'],25773,2
positive,0.6454,Delta,['jetblue lolol s_myc88'],21820,2
negative,1.0,United,united gj i will. you have to agree that 7 hours late flight for arrival is unacceptable. i only hope and pray my bag is here.,3518,0
positive,1.0,Delta,"[""jetblue awe you guys are groovy can ' t delay to jaunt with you once more soon! !!""]",26887,2
neutral,0.6579,American,americanair i had booked online but unable to cancelled flight online. but finally got thru.,12899,1
neutral,0.3658,Delta,"[""jetblue excited for my first flight westward you today! information technology ' s delay though - displace you give maine the 411? flight number 989 from boston to dc""]",16577,1
neutral,0.6559,Southwest,"[""southwestair heard you are keep open 30k a year on fuel non carry around those skymall ' s ripskymall""]",18967,1
neutral,0.6742,United,united when will direct flights from belfast intl to newark resume from their winter break? thanks.,948,1
positive,0.6669,United,['united keep the flights cheap and early on time and you are good. flew americanair and cancelled flightled my flight iv times final calendar month. joined gt'],21075,2
neutral,0.6838,United,"[""joined ua6357 needs de - icing! stat! we ' ve wait our turn. ..""]",18185,1
negative,1.0,US Airways,"usairways call dropped amp no call back...another 45min-hour for another rep. the worst cs ever, online, by phone amp in person.",10437,0
positive,1.0,Virgin America,"[""virginamerica i ' ve apply more then once to personify a member of the inflight crew squad. .. im 100 interested. flightattendant dreampath - gm""]",20581,2
negative,1.0,United,"united czamkoff it's all about profit, and they don't really give a damn about paying customers!!!! greed",1818,0
neutral,0.6755,American,['americanair behind you check on he status of my exp membership scorecard? require the strong arm card to approach some international lounges presently.'],17485,1
negative,1.0,United,united u guys did it again changed ages and double booked seats so i had to i've even though i have platinum and the other person none,2312,0
negative,1.0,United,"united better train your support staff with appropriate decorum, consider revisiting your terrible provide a death certificate' policy",802,0
neutral,0.6837,Delta,jetblue airways sees significant drop in short interest jblu - mideast time,8826,1
positive,1.0,American,['americanair we made it thus no worries. .. you guys did estimable tonight and yet arrange espn_coachmack on my flight firstclass'],22807,2
negative,1.0,United,united so you are saying that customer care does not report to anyone? their response is humiliating for a company that serves the public.,3993,0
positive,1.0,Delta,['jetblue i coif! the good airline wifi of all time. give thanks you!'],24203,2
positive,1.0,US Airways,"[""usairways that ' s why u guys represent my 1 choice.""]",22542,2
positive,1.0,American,"[""americanair dawn_davis you ' re real welcome, dawn. we fuck take you pilot. let ' s do information technology once more! over again in 1 workweek!""]",25173,2
neutral,1.0,American,americanair delta virginatlantic i need a vacation from all this ice!,13280,1
neutral,0.3528,American,['americanair thank you'],20525,1
negative,1.0,United,united that's real dedication amp concern. your apologies don't fix the issue nor any of the miserable issues i've had over the past 6 mos.,1017,0
neutral,0.6664,Delta,['jetblue is pocket check cut slay xxx moment before the original departure time or the estimated meter shown online?'],16733,1
negative,1.0,American,americanair help us here !!! we are stuck here jfk for more than 24hours! !we need to go home flight919 saveus,14074,0
negative,1.0,United,united checked me in through security under the wrong name and given the wrong boarding pass. airlinesecurity,1387,0
neutral,1.0,US Airways,"[""usairways can i bring a written matter or photograph of my babe ' s birth certificate for the flying? one feel uncomfortable traveling with the real matter.""]",17058,1
negative,1.0,Southwest,"southwestair flight cancelled flightled, stuck for 3 days. paid for a boarding. refused to honor it with rescheduled flight",5095,0
neutral,0.6461,Southwest,"['southwestair, kudos to your repp patricia at gate b11 this sunday dawning at chicago battle of midway mdw,']",15530,1
negative,1.0,United,united really 1st flt frm iad 2 iah is - late flight amp -going via nashville? inconvenience. downgraded but not on ticket,1339,0
negative,1.0,American,americanair why does your rtw planner spec. circle pacific not let me even plan the demo routes from your website?,14137,0
neutral,0.6266,US Airways,"[""usairways made it. . ne'er ran thusly tight in my life""]",17039,1
neutral,1.0,United,"[""joined checked in boardingpass tungsten no checkin bagage guess one ' m all seth. -""]",15138,1
positive,1.0,Southwest,southwestair fortunemagazine love flying southwest! best flight attendants ever!,6000,2
neutral,1.0,US Airways,"[""usairways to my legal last epithet. so it ' s not technically a name variety, i just utilise the wrong figure""]",16806,1
positive,0.6639,American,"[""americanair get under one's skin another trajectory. thanks you""]",27222,2
negative,1.0,American,"americanair again, no special meal catered for me in f jfk-lax. thankfully i'm on qantas the rest of way-i fear what youd not cater on that",12297,0
positive,1.0,Southwest,southwestair thx for your quick response and action! bf will make good use of the voucher satisfied happycustomer,4400,2
neutral,0.6383,United,united hello. i got off a flight a few months ago and constantly think about your peanuts. is there anyway you could send me some?,3113,1
positive,0.6771,Virgin America,"['virginamerica classiq, luv virgo the virgin america. greetingz']",20624,2
negative,1.0,Southwest,"southwestair almost 2 hours on hold, 2 hours of my life i can't get back.... thanks",6698,0
neutral,0.3469,Southwest,['southwestair can you delight follow so 1 can dm? thx!'],15767,1
neutral,1.0,Delta,['jetblue social medium takes flight with fly likeagirl - what brand lesson tail end we read? smm marque'],19770,1
positive,1.0,American,americanair everything for sorted out. thanks for the help. excited to get home tonight!,12680,2
positive,1.0,Southwest,['southwestair thankyou'],21237,2
negative,0.6771,Delta,jetblue mrjustyn i heard companies were studying popular lingo for advertising but this is just depressing and embarrassing.,6940,0
neutral,1.0,Southwest,"[""southwestair vindictive_tk larry st. david works for sou' west?""]",15760,1
